VIN,Leather,4WD,Fog Lights,DVD Player,Surround
1KH1U1S28OGEVQMN0,Yes,No,Yes,Yes,Yes
U66N35JZCLCLE8SMH,Yes,No,Yes,Yes,Yes
JJUMQEYRTCMMWR2YT,Yes,Yes,No,Yes,Yes
Z18SZZZ1DCO8FO1OW,Yes,No,No,No,Yes
YV7IZMAJGBTUJOMYT,No,No,No,Yes,Yes
TWVHXDHHV9A1F1ZUQ,Yes,Yes,No,No,No
DRHCL8YC8S3SZ56PK,No,No,Yes,Yes,No
VCEIWQL5TZY44ZMRB,Yes,Yes,Yes,No,No
FY1EYD1SBG25162FK,No,Yes,Yes,Yes,No
8A3SQQG4VF8JIUFRO,No,Yes,No,Yes,Yes
2TQZPTXQEJFJLGJ5H,Yes,Yes,Yes,No,No
12Q39ZQ2GGBFHL22Z,No,No,No,No,No
E1GOSDUXP32SK7DZ2,No,No,No,No,No
7P8Q135GKLC9X9EA0,No,No,Yes,Yes,No
QMT9CS8OCC8YP5M2C,Yes,Yes,Yes,Yes,No
IFW1N2RO6D2PXPX8W,No,No,Yes,Yes,Yes
FGXN43IMUI612D6J4,No,No,Yes,Yes,Yes
8TYBHEC1SP2ONB5NN,No,No,No,Yes,Yes
L6F1NG0PQ77Z0UIYP,Yes,Yes,No,No,No
RKSQKX0B3CWVZ76KA,Yes,Yes,No,Yes,No
W8BIT8ZW5Z7XGHZA0,No,Yes,Yes,No,Yes
Q9I30GAQ14J7RVKON,Yes,Yes,Yes,No,No
GJKM0J9LG8NZS9O8D,No,Yes,No,No,No
QXE63CPAAD3BPV5KL,No,No,Yes,No,No
GAK2Q593YFHP4NF9N,Yes,No,No,Yes,No
OLVT4E0B16QZNVCEH,No,Yes,No,Yes,No
1YSRDWAYS37YR7ZCW,Yes,Yes,Yes,Yes,No
JRAVVXGE7O21AMOGU,Yes,No,Yes,No,No
9AZOCTHNBZPXAVBT9,Yes,No,Yes,Yes,No
B4UWTLKD23DLUOFGX,Yes,No,No,No,No
OVJP8V6N0MWXICVO1,Yes,No,No,No,No
TBLWDEC8T82AA5WHD,No,No,Yes,No,Yes
68N8HN0GYP9TVRWNU,No,Yes,Yes,Yes,Yes
SBF8KESN3ZW2GSYHI,Yes,No,No,No,No
JF3WYDA4CHEXI96W5,No,No,Yes,Yes,No
7VUP6ACVHWQH07OYT,No,No,Yes,No,No
QM7BWTF2Y42YT03SB,No,No,No,Yes,Yes
3YUREMZ0WU6HCAK6P,Yes,Yes,No,Yes,No
0DJS1GD6SC9TNTOT6,Yes,Yes,Yes,No,No
ZYJGQNYAAU8CC5RWD,No,Yes,No,No,Yes
WI07YDV1JKWATG8MQ,Yes,Yes,No,Yes,No
09GMVVXXIZ4SVZ7GC,Yes,Yes,No,Yes,No
A2D9RSKQHILLBYLGI,Yes,No,No,Yes,Yes
1GOXZJ1DCIVI7P69V,No,Yes,Yes,No,Yes
ASX0F5F2HE5PJGNMT,Yes,Yes,No,No,No
8911P4PN1C41RB0NG,Yes,Yes,No,No,No
